ARSvAVL~1~[12,93,104,113,118,297,310,311,321,548,580]~[10,94,125,154,169,307,344,345,346,564,565];
BHAvBUR~1~[36,141,155,178,197,353,359,373,380,586,589]~[4,105,130,170,179,391,426,427,435,570,579];
CHEvPAL~1~[9,74,80,86,87,303,304,305,318,553,555]~[14,181,182,193,201,312,357,362,367,577,581];
EVEvFUL~1~[15,76,88,114,128,309,322,348,355,550,551]~[26,189,190,191,209,347,394,409,430,582,588];
LEEvLEI~1~[21,144,138,184,211,374,379,383,419,556,576]~[3,78,84,90,106,323,327,340,358,578,598];
LIVvMNC~1~[1,71,72,73,111,294,295,325,366,384,543]~[0,75,77,79,82,296,298,306,313,386,541];
MNUvNEW~1~[6,92,99,107,134,299,301,308,326,349,552]~[11,135,160,186,203,368,371,400,412,447,557];
SHWvSOU~1~[20,115,121,161,162,369,431,441,442,458,571]~[19,122,136,150,151,329,336,354,375,388,547];
TOTvWBA~1~[2,83,85,100,108,300,302,314,320,540,554]~[24,152,187,188,204,370,378,401,422,423,572];
WHUvWOL~1~[8,109,123,166,192,330,332,337,338,365,559]~[5,101,102,103,117,339,342,377,415,416,549];
